,City,Country,Max Temp,Lat,Lng,Current Weather,Hotel Name
406,Manadhoo,MV,83.59,5.77,73.38,scattered clouds,Reason Inn
408,Porto Novo,BJ,80.6,6.5,2.6,scattered clouds,Tour Eiffel Hotel Benin
409,Sao Goncalo Do Amarante,BR,84.0,-3.61,-38.97,few clouds,Albergue Parque Olaria
410,Cartagena,CO,84.2,10.4,-75.51,broken clouds,Costa Del Sol
411,Toowoomba,AU,75.0,-27.55,151.97,few clouds,Toowoomba Central Plaza Apartment Hotel
413,Pisco,PE,73.0,-13.7,-76.22,broken clouds,Hostal San Isidro Oficial
416,Kupang,ID,77.0,-10.17,123.58,few clouds,Sylvia Hotel Premier Kupang
419,Thai Binh,VN,69.8,20.45,106.33,mist,Hội Liên Hiệp Phụ Nữ Tỉnh Thái Bình
420,Manta,EC,84.2,-0.95,-80.73,scattered clouds,Balandra Hotel
421,Ishigaki,JP,68.0,24.34,124.16,broken clouds,Hotel Peace Land Ishigakijima
422,Marawi,PH,76.75,8.0,124.29,few clouds,Derogongan Residence
425,Ibra,OM,71.8,22.69,58.53,clear sky,مزرعة راحة النفوس المنزفة
431,Gambela,ET,83.84,8.25,34.58,scattered clouds,Solomon Debebe Hotel
434,Kandi,BJ,90.43,11.13,2.94,overcast clouds,Maison des producteurs kandi
435,Guhagar,IN,79.59,17.48,73.19,clear sky,Hotel Seawinds
437,Charters Towers,AU,78.1,-20.1,146.27,clear sky,Cattleman's Rest Motor Inn
438,Paciran,ID,80.76,-6.88,112.38,broken clouds,Tanjung Kodok Beach Resort
440,Raga,SS,77.22,8.46,25.68,broken clouds,
441,Huejuquilla El Alto,MX,77.0,22.6,-103.87,overcast clouds,Central De Autobuses De Huejuquilla El Alto
446,Rantepao,ID,71.28,-2.97,119.9,overcast clouds,Hotel Luta Resort
453,Ghaziabad,IN,66.2,28.67,77.43,mist,SPOT ON 39684 Gold Inn SPOT
456,Coihueco,CL,73.4,-36.62,-71.83,clear sky,Frutillares Coihueco
458,High Rock,BS,73.4,26.62,-78.28,scattered clouds,Ocean Pearl Bonefishing Resort
462,San Cristobal,VE,86.0,7.77,-72.22,smoke,Pirineos
463,Umm Kaddadah,SD,80.06,13.6,26.69,clear sky,
468,Arlit,NE,83.93,18.74,7.39,clear sky,Hôtel Telwa Bungalow
469,Ler,SS,83.66,8.3,30.14,few clouds,
476,Tomatlan,MX,80.82,19.93,-105.25,scattered clouds,Norma franco
479,Cozumel,MX,87.8,20.51,-86.95,scattered clouds,Cozumel Palace® All Inclusive Resort
483,Boa Vista,BR,91.4,2.82,-60.67,few clouds,Aipana Plaza Hotel
485,Keningau,MY,78.8,5.34,116.16,few clouds,Sabindo Hotel
495,Harunabad,PK,68.41,29.61,73.14,clear sky,Siddique cycle store and auto shop
499,Yokadouma,CM,68.43,3.52,15.05,overcast clouds,Hôtel De Ville De Yokadouma
500,Veraval,IN,75.24,20.9,70.37,clear sky,Lords Inn Somnath
503,Miri,MY,75.2,4.41,114.01,broken clouds,"Mega Hotel, Miri"
504,Camana,PE,73.51,-16.62,-72.71,broken clouds,Hostal Morales
506,Majayjay,PH,82.99,14.15,121.47,few clouds,Majayjay Bed & Breakfast
508,Ayorou,NE,85.64,14.73,0.92,scattered clouds,Hotel Amenokal
516,San Ramon,US,68.0,37.78,-121.98,clear sky,San Ramon Marriott
517,Kutum,SD,70.75,14.2,24.67,broken clouds,Dibbo areaمنطقة دبو
526,Zempoala,MX,86.0,19.45,-96.42,clear sky,Panteon cempuala
530,Kununurra,AU,82.4,-15.77,128.73,scattered clouds,Hotel Kununurra
533,Manpur,IN,74.03,22.43,75.62,clear sky,Dharmendar
535,Macas,EC,75.2,-2.32,-78.12,few clouds,Casa Upano - Guesthouse & Sanctuary
536,Namibe,AO,75.67,-15.2,12.15,clear sky,Chik-Chik Namibe
538,Mana,GF,76.48,5.66,-53.78,broken clouds,LE SAMANA
543,Nouakchott,MR,73.4,18.09,-15.98,overcast clouds,Hôtel Iman
545,Kathu,TH,78.8,7.92,98.33,few clouds,Novotel Phuket Resort
546,Conde,BR,80.6,-7.26,-34.91,few clouds,Pousada Beija Flor
548,Riyadh,SA,80.6,24.69,46.72,scattered clouds,InterContinental Riyadh
549,Port Macquarie,AU,75.99,-31.43,152.92,broken clouds,Rydges Port Macquarie
552,Palmerston,AU,84.99,-12.49,130.98,few clouds,Quest Palmerston - Serviced Apartments and Accommodation
554,Saint George,US,73.0,37.1,-113.58,clear sky,Best Western Plus Abbey Inn
555,Rancho Palos Verdes,US,75.0,33.74,-118.39,clear sky,Golf House
558,Biltine,TD,84.16,14.53,20.92,broken clouds,Hôtel Trois Étoiles de Biltine
559,Avera,US,66.2,33.19,-82.53,broken clouds,
560,Loa Janan,ID,80.04,-0.58,117.09,broken clouds,Asrama Polisi Polsek Loajanan Res Kukar
562,Abu Dhabi,AE,75.0,24.47,54.37,few clouds,Beach Rotana
566,Palauig,PH,85.23,15.44,119.9,few clouds,Myhousebythesea
568,Puerto Carreno,CO,89.6,6.19,-67.49,broken clouds,Casa Hotel Victoria
