,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Weather,Type of Weather,Rain Inches(last 3h),Snow Inches(last 3h)
48,Grand Gaube,MU,2020-04-02 21:51:27,-20.01,57.66,77.0,94,40,2.24,scattered clouds,Clouds,0.0,0.0
49,Mana,GF,2020-04-02 21:51:27,5.66,-53.78,75.54,91,95,7.47,moderate rain,Rain,0.25078740157480317,0.0
50,Torbay,CA,2020-04-02 21:51:27,47.67,-52.73,39.2,100,90,14.99,fog,Fog,0.0,0.0
51,Roald,NO,2020-04-02 21:51:27,62.58,6.13,37.99,51,99,14.99,light snow,Snow,0.0,0.04960629921259843
52,Saint Anthony,US,2020-04-02 21:51:28,45.02,-93.22,63.0,54,90,5.82,overcast clouds,Clouds,0.0,0.0
53,Edgewater,US,2020-04-02 21:51:28,28.99,-80.9,81.0,43,20,10.29,few clouds,Clouds,0.0,0.0
54,Butaritari,KI,2020-04-02 21:51:28,3.07,172.79,83.23,75,38,7.99,light rain,Rain,0.004330708661417323,0.0
55,Nikolskoye,RU,2020-04-02 21:51:29,59.7,30.79,39.99,78,90,6.71,overcast clouds,Clouds,0.0,0.0
56,Bredasdorp,ZA,2020-04-02 21:51:29,-34.53,20.04,66.99,87,0,2.24,clear sky,Clear,0.0,0.0
57,Coquimbo,CL,2020-04-02 21:48:16,-29.95,-71.34,64.4,72,75,10.29,broken clouds,Clouds,0.0,0.0
58,Dubbo,AU,2020-04-02 21:48:13,-32.25,148.62,66.2,93,90,5.82,overcast clouds,Clouds,0.0,0.0
59,Nanortalik,GL,2020-04-02 21:51:30,60.14,-45.24,24.64,79,1,6.42,clear sky,Clear,0.0,0.0
60,Tibu,CO,2020-04-02 21:51:30,8.64,-72.74,89.83,54,95,2.15,light rain,Rain,0.06299212598425198,0.0
61,Vestmanna,FO,2020-04-02 21:51:30,62.16,-7.17,28.4,79,90,14.99,light snow,Snow,0.0,0.0
62,Thompson,CA,2020-04-02 21:51:16,55.74,-97.86,28.4,92,90,9.17,overcast clouds,Clouds,0.0,0.0
63,Geraldton,AU,2020-04-02 21:51:31,-28.77,114.6,59.0,82,41,5.82,scattered clouds,Clouds,0.0,0.0
