,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Weather,Type of Weather,Rain Inches(last 3h),Snow Inches(last 3h)
214,Sao Filipe,CV,2020-04-02 21:52:21,14.9,-24.5,75.65,70,20,11.48,few clouds,Clouds,0.0,0.0
215,La Grande,US,2020-04-02 21:51:45,45.32,-118.09,46.99,56,75,6.93,broken clouds,Clouds,0.0,0.0
216,Dillon,US,2020-04-02 21:49:39,34.42,-79.37,66.99,34,1,9.17,clear sky,Clear,0.0,0.0
217,Boden,SE,2020-04-02 21:52:22,65.83,21.69,26.6,86,98,8.05,light snow,Snow,0.0,0.009055118110236222
218,Itarema,BR,2020-04-02 21:52:22,-2.92,-39.92,80.33,85,100,9.13,overcast clouds,Clouds,0.0,0.0
219,Port Hardy,CA,2020-04-02 21:52:23,50.7,-127.42,42.8,62,75,6.93,broken clouds,Clouds,0.0,0.0
220,Jutai,BR,2020-04-02 21:52:24,-5.18,-68.9,83.95,82,79,1.59,light rain,Rain,0.08070866141732283,0.0
221,Laguna,US,2020-04-02 21:52:24,38.42,-121.42,69.01,16,1,14.99,clear sky,Clear,0.0,0.0
222,Kutoarjo,ID,2020-04-02 21:52:25,-7.72,109.91,79.25,78,97,3.51,light rain,Rain,0.006692913385826772,0.0
223,Otradnoye,RU,2020-04-02 21:52:25,59.78,30.82,39.99,78,90,6.71,overcast clouds,Clouds,0.0,0.0
224,Smithers,CA,2020-04-02 21:52:25,54.78,-127.17,26.6,38,40,4.7,scattered clouds,Clouds,0.0,0.0
225,Barra Patuca,HN,2020-04-02 21:52:25,15.8,-84.28,83.01,65,0,15.28,clear sky,Clear,0.0,0.0
226,Longyearbyen,SJ,2020-04-02 21:52:26,78.22,15.64,-4.0,70,40,12.75,scattered clouds,Clouds,0.0,0.0
227,Mpika,ZM,2020-04-02 21:52:26,-11.83,31.45,59.63,56,0,10.36,clear sky,Clear,0.0,0.0
228,Rundu,NA,2020-04-02 21:52:26,-17.93,19.77,68.97,60,100,4.99,light rain,Rain,0.027559055118110236,0.0
229,Meulaboh,ID,2020-04-02 21:52:26,4.14,96.13,78.53,82,77,4.27,light rain,Rain,0.020078740157480318,0.0
230,Nouadhibou,MR,2020-04-02 21:52:27,20.93,-17.03,66.2,82,27,12.75,scattered clouds,Clouds,0.0,0.0
231,Barentu,ER,2020-04-02 21:52:27,15.11,37.59,71.96,48,2,4.38,clear sky,Clear,0.0,0.0
232,Hualmay,PE,2020-04-02 21:52:27,-11.1,-77.61,79.32,60,24,8.97,few clouds,Clouds,0.0,0.0
233,Codrington,AU,2020-04-02 21:52:28,-38.27,141.97,59.54,79,87,15.28,overcast clouds,Clouds,0.0,0.0
234,Caravelas,BR,2020-04-02 21:52:28,-17.71,-39.25,80.51,80,15,9.26,few clouds,Clouds,0.0,0.0
235,Ahipara,NZ,2020-04-02 21:52:28,-35.17,173.17,64.56,62,2,4.36,clear sky,Clear,0.0,0.0
236,San Carlos Del Zulia,VE,2020-04-02 21:52:29,9.0,-71.91,91.74,51,78,10.78,broken clouds,Clouds,0.0,0.0
237,Santa Cruz,BO,2020-04-02 21:52:02,-17.8,-63.17,91.4,59,40,5.82,scattered clouds,Clouds,0.0,0.0
238,Saldanha,ZA,2020-04-02 21:52:29,-33.01,17.94,71.6,40,0,4.7,clear sky,Clear,0.0,0.0
239,Port Shepstone,ZA,2020-04-02 21:52:29,-30.74,30.45,66.04,72,88,9.91,overcast clouds,Clouds,0.0,0.0
240,Harper,LR,2020-04-02 21:52:30,4.38,-7.72,82.08,80,98,1.25,light rain,Rain,0.025590551181102365,0.0
241,Carauari,BR,2020-04-02 21:52:30,-4.88,-66.9,85.15,76,100,1.28,light rain,Rain,0.09370078740157481,0.0
242,Batagay,RU,2020-04-02 21:52:30,67.63,134.63,-7.83,86,4,0.4,clear sky,Clear,0.0,0.0
243,Valparaiso,CL,2020-04-02 21:51:16,-33.04,-71.63,64.4,67,0,9.17,clear sky,Clear,0.0,0.0
244,Hami,CN,2020-04-02 21:52:30,42.8,93.45,45.72,27,0,7.61,clear sky,Clear,0.0,0.0
245,Galdar,ES,2020-04-02 21:52:31,28.15,-15.65,64.99,72,75,10.29,broken clouds,Clouds,0.0,0.0
246,Dunda,TZ,2020-04-02 21:52:31,-8.12,34.25,65.59,65,79,3.91,broken clouds,Clouds,0.0,0.0
247,Piacabucu,BR,2020-04-02 21:52:31,-10.41,-36.43,80.01,80,100,7.96,overcast clouds,Clouds,0.0,0.0
248,Fairbanks,US,2020-04-02 21:51:14,64.84,-147.72,30.2,63,90,3.36,overcast clouds,Clouds,0.0,0.0
249,Alta Floresta,BR,2020-04-02 21:52:32,-9.88,-56.09,80.6,88,40,3.36,scattered clouds,Clouds,0.0,0.0
250,Jiazi,CN,2020-04-02 21:52:32,22.88,116.07,65.71,82,88,11.9,overcast clouds,Clouds,0.0,0.0
251,Sinisian,PH,2020-04-02 21:52:32,13.92,120.84,78.01,78,20,8.05,few clouds,Clouds,0.0,0.0
252,Shingu,JP,2020-04-02 21:52:32,33.73,135.98,44.47,54,25,5.68,scattered clouds,Clouds,0.0,0.0
253,Muroto,JP,2020-04-02 21:52:33,33.28,134.15,44.6,75,75,12.75,broken clouds,Clouds,0.0,0.0
254,Klyuchi,RU,2020-04-02 21:52:33,52.27,79.17,40.21,89,0,9.37,clear sky,Clear,0.0,0.0
255,Hithadhoo,MV,2020-04-02 21:52:33,-0.6,73.08,83.75,71,99,5.68,overcast clouds,Clouds,0.0,0.0
256,Victoria,HK,2020-04-02 21:52:33,22.29,114.16,71.01,77,40,20.8,scattered clouds,Clouds,0.0,0.0
257,Minas De Barroteran,MX,2020-04-02 21:52:34,27.63,-101.28,88.03,33,61,9.04,broken clouds,Clouds,0.0,0.0
258,Andrelandia,BR,2020-04-02 21:52:34,-21.74,-44.31,69.12,69,7,4.97,light rain,Rain,0.018110236220472444,0.0
259,Jieshi,CN,2020-04-02 21:52:34,22.81,115.83,66.99,86,90,12.64,overcast clouds,Clouds,0.0,0.0
260,Kaeo,NZ,2020-04-02 21:52:35,-35.1,173.78,66.99,88,2,4.0,clear sky,Clear,0.0,0.0
261,San Quintin,MX,2020-04-02 21:52:35,30.48,-115.95,63.79,65,0,16.62,clear sky,Clear,0.0,0.0
262,Puerto Quijarro,BO,2020-04-02 21:52:35,-17.78,-57.77,88.39,61,43,2.24,light rain,Rain,0.004330708661417323,0.0
263,Houlton,US,2020-04-02 21:52:35,46.13,-67.84,42.8,87,90,18.34,overcast clouds,Clouds,0.0,0.0
264,San Vicente,AR,2020-04-02 21:52:16,-26.62,-54.13,68.31,85,100,5.53,light rain,Rain,0.047244094488188976,0.0
265,San Cristobal,VE,2020-04-02 21:52:36,7.77,-72.22,86.0,62,40,9.17,smoke,Smoke,0.0,0.0
266,Norman Wells,CA,2020-04-02 21:52:36,65.28,-126.83,12.2,51,5,29.97,clear sky,Clear,0.0,0.0
267,Clarksburg,US,2020-04-02 21:50:05,39.28,-80.34,59.0,30,75,14.99,broken clouds,Clouds,0.0,0.0
268,Leshukonskoye,RU,2020-04-02 21:52:37,64.9,45.76,18.68,96,22,5.3,few clouds,Clouds,0.0,0.0
269,Ostrovnoy,RU,2020-04-02 21:52:37,68.05,39.51,14.63,94,50,7.47,scattered clouds,Clouds,0.0,0.0
270,Ilulissat,GL,2020-04-02 21:52:37,69.22,-51.1,1.4,59,4,8.05,clear sky,Clear,0.0,0.0
271,Durango,MX,2020-04-02 21:51:01,24.83,-104.83,81.43,7,81,20.54,broken clouds,Clouds,0.0,0.0
272,Brae,GB,2020-04-02 21:52:38,60.4,-1.35,37.4,59,98,19.46,light snow,Snow,0.0,0.010629921259842521
273,Petropavlovsk-Kamchatskiy,RU,2020-04-02 21:51:22,53.05,158.65,32.0,94,90,4.47,light shower snow,Snow,0.0,0.0
274,Tateyama,JP,2020-04-02 21:52:39,34.98,139.87,51.01,43,20,9.17,few clouds,Clouds,0.0,0.0
275,Tigil,RU,2020-04-02 21:52:39,57.8,158.67,11.75,92,33,4.29,scattered clouds,Clouds,0.0,0.0
276,Port Elizabeth,ZA,2020-04-02 21:52:40,-33.92,25.57,64.4,88,0,10.29,clear sky,Clear,0.0,0.0
277,Ketchikan,US,2020-04-02 21:52:41,55.34,-131.65,41.0,48,1,16.11,clear sky,Clear,0.0,0.0
278,Vila Franca Do Campo,PT,2020-04-02 21:52:41,37.72,-25.43,60.8,93,40,14.99,scattered clouds,Clouds,0.0,0.0
279,San Policarpo,PH,2020-04-02 21:52:41,12.18,125.51,80.31,81,1,13.22,light rain,Rain,0.05472440944881889,0.0
280,Hamilton,US,2020-04-02 21:50:55,39.18,-84.53,62.01,38,1,4.9,clear sky,Clear,0.0,0.0
281,Sarangani,PH,2020-04-02 21:52:42,5.4,125.46,82.06,75,2,16.4,clear sky,Clear,0.0,0.0
282,Mendi,PG,2020-04-02 21:52:42,-6.18,143.65,52.92,53,74,2.35,broken clouds,Clouds,0.0,0.0
283,Cidreira,BR,2020-04-02 21:52:43,-30.18,-50.21,73.31,63,33,20.6,light rain,Rain,0.01141732283464567,0.0
284,Salinopolis,BR,2020-04-02 21:52:43,-0.61,-47.36,81.9,83,100,11.18,light rain,Rain,0.012204724409448819,0.0
285,Arlit,NE,2020-04-02 21:52:43,18.74,7.39,87.26,9,50,6.87,scattered clouds,Clouds,0.0,0.0
286,Copiapo,CL,2020-04-02 21:52:44,-27.37,-70.33,64.4,72,90,6.93,overcast clouds,Clouds,0.0,0.0
287,Mar Del Plata,AR,2020-04-02 21:52:12,-38.0,-57.56,62.6,59,20,13.87,few clouds,Clouds,0.0,0.0
288,Jinchang,CN,2020-04-02 21:52:44,38.5,102.17,36.7,28,100,2.59,overcast clouds,Clouds,0.0,0.0
289,Suntar,RU,2020-04-02 21:52:45,62.14,117.63,4.28,92,3,3.94,clear sky,Clear,0.0,0.0
290,San Pedro,PH,2020-04-02 21:52:45,14.35,121.02,79.0,78,20,8.05,few clouds,Clouds,0.0,0.0
291,Luganville,VU,2020-04-02 21:52:46,-15.53,167.17,76.77,86,100,2.75,light rain,Rain,0.027559055118110236,0.0
292,Evensk,RU,2020-04-02 21:52:47,61.95,159.23,7.77,85,10,3.8,clear sky,Clear,0.0,0.0
293,Bambous Virieux,MU,2020-04-02 21:52:47,-20.34,57.76,77.0,94,40,2.24,scattered clouds,Clouds,0.0,0.0
294,Hasaki,JP,2020-04-02 21:52:47,35.73,140.83,35.6,93,20,1.12,few clouds,Clouds,0.0,0.0
295,Abilene,US,2020-04-02 21:48:58,32.45,-99.73,82.4,64,1,11.41,clear sky,Clear,0.0,0.0
296,Dauriya,RU,2020-04-02 21:52:48,49.93,116.87,31.53,61,0,11.43,clear sky,Clear,0.0,0.0
297,Burnie,AU,2020-04-02 21:52:48,-41.07,145.92,55.99,91,100,5.06,overcast clouds,Clouds,0.0,0.0
298,Mount Gambier,AU,2020-04-02 21:52:48,-37.83,140.77,57.2,87,39,10.29,scattered clouds,Clouds,0.0,0.0
299,Mattawa,US,2020-04-02 21:52:49,46.74,-119.9,54.0,34,40,9.17,scattered clouds,Clouds,0.0,0.0
300,Egvekinot,RU,2020-04-02 21:52:49,66.32,-179.17,9.18,86,60,4.83,broken clouds,Clouds,0.0,0.0
301,Oskarshamn,SE,2020-04-02 21:52:49,57.26,16.45,39.2,76,31,17.22,light snow,Snow,0.0,0.009055118110236222
302,Nola,IT,2020-04-02 21:52:49,40.92,14.53,50.0,61,98,2.24,overcast clouds,Clouds,0.0,0.0
303,Fare,PF,2020-04-02 21:52:50,-16.7,-151.02,83.48,76,0,13.2,light rain,Rain,0.009448818897637795,0.0
304,Bukama,CD,2020-04-02 21:52:50,-9.2,25.85,71.55,74,100,1.7,light rain,Rain,0.020866141732283468,0.0
305,Westport,US,2020-04-02 21:52:50,41.14,-73.36,57.2,37,90,23.04,overcast clouds,Clouds,0.0,0.0
306,Gwanda,ZW,2020-04-02 21:52:50,-20.93,29.0,58.21,65,14,6.29,few clouds,Clouds,0.0,0.0
307,Kinablangan,PH,2020-04-02 21:52:54,7.69,126.55,76.41,81,13,6.44,light rain,Rain,0.00984251968503937,0.0
308,Sola,VU,2020-04-02 21:52:54,-13.88,167.55,80.6,100,90,11.79,overcast clouds,Clouds,0.0,0.0
309,Vanderhoof,CA,2020-04-02 21:52:54,54.02,-124.02,22.23,87,100,4.61,light snow,Snow,0.0,0.00984251968503937
310,Akureyri,IS,2020-04-02 21:52:55,65.68,-18.09,24.8,73,90,4.7,light snow,Snow,0.0,0.0
311,Acambaro,MX,2020-04-02 21:52:55,20.03,-100.73,84.2,26,40,4.7,scattered clouds,Clouds,0.0,0.0
312,Garissa,KE,2020-04-02 21:52:55,-0.45,39.64,82.89,66,33,13.24,light rain,Rain,0.011023622047244096,0.0
313,Bassano,CA,2020-04-02 21:52:55,50.78,-112.47,19.99,51,79,1.01,broken clouds,Clouds,0.0,0.0
314,Saint-Georges,GD,2020-04-02 21:52:56,12.06,-61.75,82.4,74,20,13.87,few clouds,Clouds,0.0,0.0
315,Azare,NG,2020-04-02 21:52:56,11.68,10.19,88.38,17,96,4.81,overcast clouds,Clouds,0.0,0.0
316,Novikovo,RU,2020-04-02 21:52:56,51.15,37.89,36.91,74,26,5.08,scattered clouds,Clouds,0.0,0.0
317,Vaitape,PF,2020-04-02 21:52:56,-16.52,-151.75,83.35,76,3,13.65,light rain,Rain,0.027559055118110236,0.0
318,Minab,IR,2020-04-02 21:52:56,27.15,57.08,71.6,83,0,4.7,clear sky,Clear,0.0,0.0
319,Aswan,EG,2020-04-02 21:52:57,24.09,32.91,72.43,20,0,9.06,clear sky,Clear,0.0,0.0
320,Lithakia,GR,2020-04-02 21:52:57,37.72,20.83,48.99,87,100,3.36,overcast clouds,Clouds,0.0,0.0
321,Kiama,AU,2020-04-02 21:52:57,-34.68,150.87,70.0,93,46,7.4,scattered clouds,Clouds,0.0,0.0
322,Laguna De Perlas,NI,2020-04-02 21:52:57,12.34,-83.67,84.2,66,20,4.7,few clouds,Clouds,0.0,0.0
323,Mayo,US,2020-04-02 21:52:58,38.89,-76.51,62.6,51,75,18.34,broken clouds,Clouds,0.0,0.0
324,Boyabat,TR,2020-04-02 21:52:58,41.47,34.77,47.03,66,11,3.78,few clouds,Clouds,0.0,0.0
325,Beringovskiy,RU,2020-04-02 21:52:58,63.05,179.32,24.22,97,100,17.6,snow,Snow,0.0,0.09724409448818899
326,Abja-Paluoja,EE,2020-04-02 21:52:59,58.13,25.35,43.0,73,100,11.99,light rain,Rain,0.005118110236220473,0.0
327,Hay River,CA,2020-04-02 21:52:59,60.82,-115.8,-5.8,63,90,9.17,light snow,Snow,0.0,0.0
328,Warmbad,NA,2020-04-02 21:52:59,-28.45,18.73,76.46,20,0,9.78,clear sky,Clear,0.0,0.0
329,Grimshaw,CA,2020-04-02 21:52:59,56.18,-117.6,10.99,46,20,3.36,few clouds,Clouds,0.0,0.0
330,West Bay,KY,2020-04-02 21:53:00,19.37,-81.42,86.0,62,40,6.93,scattered clouds,Clouds,0.0,0.0
331,Sur,OM,2020-04-02 21:53:00,22.57,59.53,78.94,68,0,7.99,clear sky,Clear,0.0,0.0
332,Severodvinsk,RU,2020-04-02 21:53:00,64.56,39.83,21.2,73,20,4.47,few clouds,Clouds,0.0,0.0
333,Douglas,US,2020-04-02 21:53:01,41.3,-96.17,44.6,78,90,13.87,haze,Haze,0.0,0.0
334,Sarapul,RU,2020-04-02 21:53:02,56.48,53.8,30.99,80,0,1.99,clear sky,Clear,0.0,0.0
335,Hrubieszow,PL,2020-04-02 21:53:02,50.8,23.89,38.55,67,16,12.15,few clouds,Clouds,0.0,0.0
336,Nuuk,GL,2020-04-02 21:53:02,64.18,-51.72,15.8,61,5,18.34,clear sky,Clear,0.0,0.0
337,Northam,GB,2020-04-02 21:53:03,51.03,-4.22,51.01,81,20,10.29,few clouds,Clouds,0.0,0.0
338,Tambura,SS,2020-04-02 21:53:03,5.6,27.47,71.85,69,100,6.85,light rain,Rain,0.012204724409448819,0.0
339,Katsuura,JP,2020-04-02 21:53:03,35.13,140.3,51.01,43,20,9.17,few clouds,Clouds,0.0,0.0
340,Qui Nhon,VN,2020-04-02 21:53:03,13.77,109.23,76.62,86,88,4.27,light rain,Rain,0.010629921259842521,0.0
341,Lompoc,US,2020-04-02 21:53:04,34.64,-120.46,72.0,37,0,13.87,clear sky,Clear,0.0,0.0
342,Sendai,JP,2020-04-02 21:48:19,38.27,140.87,42.8,52,20,3.36,few clouds,Clouds,0.0,0.0
343,Mount Isa,AU,2020-04-02 21:53:04,-20.73,139.5,75.2,64,53,4.7,broken clouds,Clouds,0.0,0.0
344,Pindiga,NG,2020-04-02 21:53:04,9.98,10.93,86.85,45,94,9.91,overcast clouds,Clouds,0.0,0.0
345,Saint George,US,2020-04-02 21:50:56,37.1,-113.58,62.6,17,1,17.22,clear sky,Clear,0.0,0.0
346,Nossa Senhora Da Gloria,BR,2020-04-02 21:53:05,-10.22,-37.42,76.77,75,99,9.22,light rain,Rain,0.005905511811023622,0.0
347,Derzhavinsk,KZ,2020-04-02 21:53:05,51.1,66.32,29.23,90,66,3.78,broken clouds,Clouds,0.0,0.0
348,Anklam,DE,2020-04-02 21:53:06,53.86,13.69,46.0,82,100,8.01,overcast clouds,Clouds,0.0,0.0
349,Tommot,RU,2020-04-02 21:53:06,58.96,126.29,-2.13,87,74,2.98,broken clouds,Clouds,0.0,0.0
350,Tartagal,AR,2020-04-02 21:53:06,-22.52,-63.8,63.84,80,100,6.22,light rain,Rain,0.013779527559055118,0.0
351,Tambopata,PE,2020-04-02 21:53:07,-12.73,-69.18,92.7,46,22,1.07,few clouds,Clouds,0.0,0.0
352,Mackay,AU,2020-04-02 21:48:18,-21.15,149.2,69.8,94,75,4.7,broken clouds,Clouds,0.0,0.0
353,Hovd,MN,2020-04-02 21:53:07,48.01,91.64,27.97,45,0,5.97,clear sky,Clear,0.0,0.0
354,Severo-Kurilsk,RU,2020-04-02 21:53:07,50.68,156.12,31.73,95,100,41.58,snow,Snow,0.0,0.10196850393700788
355,Wanning,CN,2020-04-02 21:53:08,18.8,110.4,76.77,88,33,9.42,light rain,Rain,0.010236220472440946,0.0
356,Sistranda,NO,2020-04-02 21:53:08,63.73,8.83,35.6,69,75,26.4,shower rain,Rain,0.0,0.0
357,Basco,PH,2020-04-02 21:53:09,20.45,121.97,76.62,85,98,18.99,light rain,Rain,0.012598425196850395,0.0
358,Ercis,TR,2020-04-02 21:53:09,39.03,43.36,39.2,80,40,3.36,scattered clouds,Clouds,0.0,0.0
359,Macusani,PE,2020-04-02 21:53:09,-14.08,-70.43,46.53,20,74,8.41,light rain,Rain,0.020866141732283468,0.0
360,Kimbe,PG,2020-04-02 21:53:09,-5.55,150.14,77.22,89,95,1.61,light rain,Rain,0.042913385826771656,0.0
361,Ozernovskiy,RU,2020-04-02 21:53:10,51.5,156.52,31.28,95,100,33.58,light snow,Snow,0.0,0.047244094488188976
362,Turukhansk,RU,2020-04-02 21:53:10,65.82,87.98,34.79,96,100,22.35,light rain,Rain,0.03503937007874016,0.0
363,Flinders,AU,2020-04-02 21:53:10,-34.58,150.86,70.0,93,53,7.07,broken clouds,Clouds,0.0,0.0
364,Biloela,AU,2020-04-02 21:53:10,-24.42,150.5,68.76,80,0,1.72,clear sky,Clear,0.0,0.0
365,Praia,CV,2020-04-02 21:53:10,14.92,-23.51,72.46,79,90,14.2,overcast clouds,Clouds,0.0,0.0
366,Pangody,RU,2020-04-02 21:53:11,65.85,74.49,19.02,93,100,13.47,light snow,Snow,0.0,0.016929133858267716
367,San Ignacio,BZ,2020-04-02 21:53:11,17.16,-89.07,96.8,39,1,4.7,clear sky,Clear,0.0,0.0
368,Sorong,ID,2020-04-02 21:53:11,-0.88,131.25,77.56,86,91,3.94,overcast clouds,Clouds,0.0,0.0
369,Ancud,CL,2020-04-02 21:53:12,-41.87,-73.82,62.6,63,1,8.05,clear sky,Clear,0.0,0.0
370,Deputatskiy,RU,2020-04-02 21:53:12,69.3,139.9,-13.97,81,20,3.83,few clouds,Clouds,0.0,0.0
371,Esso,RU,2020-04-02 21:53:12,55.93,158.7,17.15,82,100,2.33,overcast clouds,Clouds,0.0,0.0
372,Nha Trang,VN,2020-04-02 21:49:45,12.25,109.18,78.8,83,20,4.7,few clouds,Clouds,0.0,0.0
373,Mareeba,AU,2020-04-02 21:53:13,-17.0,145.43,75.2,78,7,8.05,clear sky,Clear,0.0,0.0
374,Pavilosta,LV,2020-04-02 21:53:13,56.89,21.19,44.6,70,100,31.09,light rain,Rain,0.006692913385826772,0.0
375,Trairi,BR,2020-04-02 21:53:13,-3.28,-39.27,80.82,85,84,10.27,light rain,Rain,0.016141732283464567,0.0
376,Birnin Kebbi,NG,2020-04-02 21:53:14,12.45,4.2,91.47,20,82,5.61,broken clouds,Clouds,0.0,0.0
377,Kahului,US,2020-04-02 21:53:14,20.89,-156.47,82.4,58,1,16.11,clear sky,Clear,0.0,0.0
378,Antigonish,CA,2020-04-02 21:49:50,45.62,-62.0,41.0,93,90,23.04,overcast clouds,Clouds,0.0,0.0
379,College,US,2020-04-02 21:53:15,64.86,-147.8,30.2,42,90,2.51,overcast clouds,Clouds,0.0,0.0
380,Manokwari,ID,2020-04-02 21:53:15,-0.87,134.08,79.56,75,100,3.18,light rain,Rain,0.007874015748031498,0.0
381,Hvolsvollur,IS,2020-04-02 21:53:15,63.75,-20.22,21.99,78,32,10.0,scattered clouds,Clouds,0.0,0.0
382,Khash,IR,2020-04-02 21:53:16,28.22,61.22,63.21,23,0,4.29,clear sky,Clear,0.0,0.0
383,Rio Gallegos,AR,2020-04-02 21:53:16,-51.62,-69.22,62.6,39,75,12.75,light rain,Rain,0.0,0.0
384,Boende,CD,2020-04-02 21:53:16,-0.22,20.87,74.35,83,55,0.74,light rain,Rain,0.06968503937007875,0.0
385,Inhambane,MZ,2020-04-02 21:53:16,-23.86,35.38,75.22,83,58,18.45,light rain,Rain,0.08228346456692913,0.0
386,Daltenganj,IN,2020-04-02 21:53:17,24.03,84.07,74.98,25,0,3.8,clear sky,Clear,0.0,0.0
387,Vardo,NO,2020-04-02 21:53:17,70.37,31.11,10.4,78,20,4.7,few clouds,Clouds,0.0,0.0
388,Gamba,GA,2020-04-02 21:53:17,-2.65,10.0,79.86,90,71,8.05,light rain,Rain,0.013779527559055118,0.0
389,Ulladulla,AU,2020-04-02 21:53:17,-35.35,150.47,62.6,93,19,8.52,few clouds,Clouds,0.0,0.0
390,Pacific Grove,US,2020-04-02 21:53:17,36.62,-121.92,68.0,51,1,11.41,clear sky,Clear,0.0,0.0
391,The Valley,AI,2020-04-02 21:49:26,18.22,-63.06,84.2,58,20,8.05,few clouds,Clouds,0.0,0.0
392,Namatanai,PG,2020-04-02 21:53:18,-3.67,152.43,82.08,75,91,6.17,light rain,Rain,0.028346456692913385,0.0
393,Mamburao,PH,2020-04-02 21:53:18,13.25,120.67,77.23,75,12,10.71,few clouds,Clouds,0.0,0.0
394,Port Pirie,AU,2020-04-02 21:53:18,-33.18,138.02,57.2,93,69,5.82,broken clouds,Clouds,0.0,0.0
395,Poso,ID,2020-04-02 21:53:19,-1.4,120.75,78.71,67,85,2.19,overcast clouds,Clouds,0.0,0.0
396,Florianopolis,BR,2020-04-02 21:53:19,-27.61,-48.5,82.0,74,75,5.82,broken clouds,Clouds,0.0,0.0
397,Banda Aceh,ID,2020-04-02 21:53:19,5.56,95.32,79.65,80,41,2.66,light rain,Rain,0.012598425196850395,0.0
398,Ust-Nera,RU,2020-04-02 21:53:19,64.57,143.2,7.39,83,100,5.17,overcast clouds,Clouds,0.0,0.0
399,Pangnirtung,CA,2020-04-02 21:53:20,66.15,-65.71,-4.0,64,5,3.91,clear sky,Clear,0.0,0.0
400,Turkmenabat,TM,2020-04-02 21:53:20,39.07,63.58,59.0,67,99,11.41,overcast clouds,Clouds,0.0,0.0
401,Kavali,IN,2020-04-02 21:53:20,14.92,79.98,76.35,87,65,8.72,broken clouds,Clouds,0.0,0.0
402,Quatre Cocos,MU,2020-04-02 21:53:21,-20.21,57.76,77.0,94,40,2.24,scattered clouds,Clouds,0.0,0.0
403,Fatehpur,IN,2020-04-02 21:52:20,25.93,80.8,73.6,25,0,7.43,clear sky,Clear,0.0,0.0
404,Soyo,AO,2020-04-02 21:53:21,-6.13,12.37,80.33,83,94,3.62,overcast clouds,Clouds,0.0,0.0
405,Strezhevoy,RU,2020-04-02 21:53:22,60.73,77.59,32.0,96,75,15.66,broken clouds,Clouds,0.0,0.0
406,Jales,BR,2020-04-02 21:53:22,-20.27,-50.55,79.75,70,51,3.36,light rain,Rain,0.020866141732283468,0.0
407,Aykhal,RU,2020-04-02 21:53:22,66.0,111.5,6.8,65,75,8.95,broken clouds,Clouds,0.0,0.0
408,Santa Maria,BR,2020-04-02 21:50:43,-29.68,-53.81,75.2,41,0,8.05,clear sky,Clear,0.0,0.0
409,Adrar,MR,2020-04-02 21:53:23,20.5,-10.07,84.07,13,93,6.55,overcast clouds,Clouds,0.0,0.0
410,Cururupu,BR,2020-04-02 21:53:24,-1.83,-44.87,80.38,88,100,5.95,light rain,Rain,0.004330708661417323,0.0
411,Lota,CL,2020-04-02 21:53:24,-37.08,-73.17,73.4,46,0,18.34,clear sky,Clear,0.0,0.0
412,Alma,CA,2020-04-02 21:53:24,48.55,-71.65,39.2,93,90,9.17,light rain,Rain,0.0,0.0
413,Guiong,PH,2020-04-02 21:53:24,6.42,122.03,75.2,94,40,1.12,scattered clouds,Clouds,0.0,0.0
414,Cabo San Lucas,MX,2020-04-02 21:52:33,22.89,-109.91,82.99,53,5,9.17,clear sky,Clear,0.0,0.0
415,Porto Novo,BJ,2020-04-02 21:51:01,6.5,2.6,82.4,83,20,5.82,few clouds,Clouds,0.0,0.0
416,Chernyshevskiy,RU,2020-04-02 21:53:25,63.01,112.47,2.25,90,33,3.11,scattered clouds,Clouds,0.0,0.0
417,Neka,IR,2020-04-02 21:53:26,36.65,53.3,60.8,82,75,13.87,broken clouds,Clouds,0.0,0.0
418,Hukuntsi,BW,2020-04-02 21:53:26,-24.0,21.75,67.48,50,0,7.7,clear sky,Clear,0.0,0.0
419,Touros,BR,2020-04-02 21:53:26,-5.2,-35.46,80.6,88,40,6.93,scattered clouds,Clouds,0.0,0.0
420,Ust-Maya,RU,2020-04-02 21:53:26,60.42,134.53,-0.74,90,63,4.03,broken clouds,Clouds,0.0,0.0
421,Valdivia,CL,2020-04-02 21:53:27,-39.81,-73.25,73.4,46,0,8.05,clear sky,Clear,0.0,0.0
422,Phan Thiet,VN,2020-04-02 21:53:27,10.93,108.1,74.37,81,26,9.78,scattered clouds,Clouds,0.0,0.0
423,Mendeleyevo,RU,2020-04-02 21:53:27,56.03,37.22,41.0,93,40,11.18,scattered clouds,Clouds,0.0,0.0
424,Zafra,ES,2020-04-02 21:53:27,38.42,-6.42,55.4,76,0,6.93,clear sky,Clear,0.0,0.0
425,Monte Carmelo,BR,2020-04-02 21:52:10,-18.72,-47.5,72.68,69,47,4.07,light rain,Rain,0.0594488188976378,0.0
426,Leningradskiy,RU,2020-04-02 21:53:28,69.38,178.42,4.77,86,4,3.24,clear sky,Clear,0.0,0.0
427,Dunedin,NZ,2020-04-02 21:52:13,-45.87,170.5,57.0,76,0,2.8,clear sky,Clear,0.0,0.0
428,Richards Bay,ZA,2020-04-02 21:53:29,-28.78,32.04,67.24,67,50,4.52,scattered clouds,Clouds,0.0,0.0
429,Karratha,AU,2020-04-02 21:53:29,-20.74,116.85,83.03,42,75,12.88,broken clouds,Clouds,0.0,0.0
430,Alim,PH,2020-04-02 21:53:29,9.56,122.49,79.68,75,12,13.04,few clouds,Clouds,0.0,0.0
